State_of_Charge,StateofCharge,Voltage,DischargeVoltage,ChargeVoltage,DischargeEnergy
0.514,51.4,3.8762555,3.835763,3.916748,7.685008843
0.516,51.6,3.877463,3.836699,3.918227,7.655393843
0.518,51.8,3.878664,3.837849,3.919479,7.625766843
0.52,52,3.880044,3.839173,3.920915,7.596132843
0.522,52.2,3.8808175,3.839993,3.921642,7.566487843
0.524,52.4,3.8822425,3.84147,3.923015,7.536841843
0.526,52.6,3.8834475,3.842685,3.92421,7.507180843
0.528,52.8,3.8849265,3.843835,3.926018,7.472561843
0.53,53,3.886209,3.845093,3.927325,7.442879843
0.532,53.2,3.8873715,3.846139,3.928604,7.413190843
0.534,53.4,3.88873,3.847341,3.930119,7.383494843
0.536,53.6,3.8901275,3.848722,3.931533,7.353782843
0.538,53.8,3.8913525,3.850036,3.932669,7.324061843
0.54,54,3.8925835,3.851134,3.934033,7.294331843
0.542,54.2,3.8937955,3.852159,3.935432,7.264594843
0.544,54.4,3.8952415,3.853443,3.93704,7.234841843
0.546,54.6,3.8967305,3.855005,3.938456,7.205077843
0.548,54.8,3.897864,3.855959,3.939769,7.175306843
0.55,55,3.899406,3.857468,3.941344,7.145524843
0.552,55.2,3.90083,3.858719,3.942941,7.115736843
0.554,55.4,3.9019665,3.859925,3.944008,7.085933843
0.556,55.6,3.903395,3.861233,3.945557,7.056125843
0.558,55.8,3.9048345,3.862582,3.947087,7.026306843
0.56,56,3.9063035,3.864058,3.948549,6.991508843
0.562,56.2,3.907932,3.865602,3.950262,6.961667843
0.564,56.4,3.90915,3.866679,3.951621,6.931822843
0.566,56.6,3.9108025,3.868327,3.953278,6.901961843
0.568,56.8,3.9120445,3.869774,3.954315,6.872088843
0.57,57,3.913268,3.870957,3.955579,6.842207843
0.572,57.2,3.915081,3.872601,3.957561,6.812313843
0.574,57.4,3.9164815,3.873965,3.958998,6.782414843
0.576,57.6,3.917787,3.875019,3.960555,6.752498843
0.578,57.8,3.919455,3.87687,3.96204,6.722571843
0.58,58,3.9210715,3.878434,3.963709,6.692632843
0.582,58.2,3.9225475,3.879855,3.96524,6.662686843
0.584,58.4,3.923586,3.88111,3.966062,6.632723843
0.586,58.6,3.9252525,3.882832,3.967673,6.602747843
0.588,58.8,3.9269055,3.884298,3.969513,6.572764843
0.59,59,3.9283765,3.885766,3.970987,6.542765843
0.592,59.2,3.9298465,3.88741,3.972283,6.507754843
0.594,59.4,3.9315785,3.889288,3.973869,6.477735843
0.596,59.6,3.932916,3.890593,3.975239,6.447699843
0.598,59.8,3.934766,3.89226,3.977272,6.417655843
0.6,60,3.9357335,3.89365,3.977817,6.387594843
0.602,60.2,3.9376145,3.895676,3.979553,6.357523843
0.604,60.4,3.939231,3.897369,3.981093,6.327445843
0.606,60.6,3.940668,3.898656,3.98268,6.297351843
0.608,60.8,3.94246,3.900689,3.984231,6.267241843
0.61,61,3.943817,3.902131,3.985503,6.237123843
0.612,61.2,3.945426,3.903779,3.987073,6.206984843
0.614,61.4,3.9471545,3.905739,3.98857,6.176839843
0.616,61.6,3.9486015,3.907313,3.98989,6.146681843
0.618,61.8,3.9501865,3.909191,3.991182,6.116505843
0.62,62,3.95175,3.91081,3.99269,6.086314843
0.622,62.2,3.953317,3.912407,3.994227,6.056115843
0.624,62.4,3.9551465,3.914451,3.995842,6.025901843
0.626,62.6,3.957016,3.916592,3.99744,5.990633843
0.628,62.8,3.9585065,3.918139,3.998874,5.960389843
0.63,63,3.96024,3.920074,4.000406,5.930123843
0.632,63.2,3.9616355,3.921727,4.001544,5.899855843
0.634,63.4,3.963353,3.923615,4.003091,5.869565843
0.636,63.6,3.9650965,3.925601,4.004592,5.839273843
0.638,63.8,3.9665615,3.927058,4.006065,5.808960843
0.64,64,3.968575,3.929314,4.007836,5.778628843
0.642,64.2,3.9701435,3.930983,4.009304,5.748285843
0.644,64.4,3.971857,3.932922,4.010792,5.717927843
0.646,64.6,3.973564,3.934725,4.012403,5.687555843
0.648,64.8,3.975266,3.936739,4.013793,5.657170843
0.65,65,3.9767885,3.93858,4.014997,5.626767843
0.652,65.2,3.9783715,3.940207,4.016536,5.596356843
0.654,65.4,3.9801365,3.942199,4.018074,5.565926843
0.656,65.6,3.9819055,3.944035,4.019776,5.535486843
0.658,65.8,3.983906,3.946227,4.021585,5.499957843
0.66,66,3.9855815,3.947977,4.023186,5.469481843
0.662,66.2,3.9872835,3.949967,4.0246,5.438992843
0.664,66.4,3.9886895,3.951592,4.025787,5.408484843
0.666,66.6,3.9906185,3.953618,4.027619,5.377961843
0.668,66.8,3.992274,3.955429,4.029119,5.347431843
0.67,67,3.993952,3.957495,4.030409,5.316880843
0.672,67.2,3.995793,3.959428,4.032158,5.286316843
0.674,67.4,3.997566,3.961128,4.034004,5.255739843
0.676,67.6,3.999387,3.963057,4.035717,5.225142843
0.678,67.8,4.0013355,3.965098,4.037573,5.194531843
0.68,68,4.0022025,3.96684,4.037565,5.163906843
0.682,68.2,4.0044455,3.968777,4.040114,5.133267843
0.684,68.4,4.0061185,3.970471,4.041766,5.102612843
0.686,68.6,4.0079645,3.972481,4.043448,5.071947843
0.688,68.8,4.009927,3.974586,4.045268,5.041263843
0.69,69,4.0118695,3.976693,4.047046,5.005450843
0.692,69.2,4.0137815,3.978569,4.048994,4.974733843
0.694,69.4,4.01574,3.980749,4.050731,4.944010843
0.696,69.6,4.0168575,3.982193,4.051522,4.913266843
0.698,69.8,4.0192755,3.984633,4.053918,4.882505843
0.7,70,4.021111,3.986492,4.05573,4.851735843
0.702,70.2,4.0229935,3.988479,4.057508,4.820943843
0.704,70.4,4.0249885,3.990561,4.059416,4.790138843
0.706,70.6,4.026967,3.992496,4.061438,4.759321843
